ligand_id	barrier_energy	barrier_line
PV-006960771355	25.537400000000925	"PV-006960771355	1	25.537400000000925"
PV-006960891497	26.454899999991422	"PV-006960891497	1	26.454899999991422"
PV-006960970064	32.10919999998249	"PV-006960970064	1	32.10919999998249"
PV-006961676404	25.11360000000298	"PV-006961676404	1	25.11360000000298"
PV-006961786900	30.097899999999058	"PV-006961786900	1	30.097899999999058"
PV-006962175663	29.284200000004276	"PV-006962175663	1	29.284200000004276"
PV-006962663712	27.71899999999925	"PV-006962663712	1	27.71899999999925"
PV-006962663713	28.420899999999993	"PV-006962663713	1	28.420899999999993"
PV-006962663714	26.59540000000055	"PV-006962663714	1	26.59540000000055"
PV-006962668241	30.173099999998694	"PV-006962668241	1	30.173099999998694"
PV-006962900028	29.342499999994416	"PV-006962900028	1	29.342499999994416"
PV-006963012851	29.528599999997024	"PV-006963012851	1	29.528599999997024"
PV-006963074016	29.14530000000298	"PV-006963074016	1	29.14530000000298"
PV-006963433852	26.181900000003157	"PV-006963433852	1	26.181900000003157"
PV-006964300482	29.824199999991983	"PV-006964300482	1	29.824199999991983"
PV-006964457903	27.073700000001292	"PV-006964457903	1	27.073700000001292"
PV-006964457904	29.07770000000055	"PV-006964457904	1	29.07770000000055"
PV-006964457905	29.676799999989395	"PV-006964457905	1	29.676799999989395"
PV-006964582486	30.325700000001493	"PV-006964582486	1	30.325700000001493"
PV-006964584680	28.235500000001675	"PV-006964584680	1	28.235500000001675"
PV-006964617656	25.90089999999601	"PV-006964617656	1	25.90089999999601"
PV-006964778273	28.5112999999974	"PV-006964778273	1	28.5112999999974"
PV-006964802522	28.624900000002228	"PV-006964802522	1	28.624900000002228"
PV-006964943107	29.870799999994603	"PV-006964943107	1	29.870799999994603"
PV-006964977144	27.48149999999682	"PV-006964977144	1	27.48149999999682"
PV-006965233501	30.996600000003365	"PV-006965233501	1	30.996600000003365"
PV-006965341717	26.39640000001322	"PV-006965341717	1	26.39640000001322"
PV-006965443386	28.427899999998328	"PV-006965443386	1	28.427899999998328"
PV-006965528838	31.72420000000338	"PV-006965528838	1	31.72420000000338"
PV-006965590757	30.98489999999199	"PV-006965590757	1	30.98489999999199"
PV-006965743399	30.69469999999869	"PV-006965743399	1	30.69469999999869"
PV-006965863880	25.845700000008005	"PV-006965863880	1	25.845700000008005"
PV-006965921848	28.566500000003906	"PV-006965921848	1	28.566500000003906"
PV-006965999889	28.989299999999158	"PV-006965999889	1	28.989299999999158"
PV-006966244633	31.135200000000008	"PV-006966244633	1	31.135200000000008"
PV-006966289822	29.08689999999441	"PV-006966289822	1	29.08689999999441"
PV-006967160300	30.89749999999908	"PV-006967160300	1	30.89749999999908"
PV-006968035681	30.139400000000002	"PV-006968035681	1	30.139400000000002"
PV-006968071580	29.661599999998888	"PV-006968071580	1	29.661599999998888"
PV-006968481584	26.42130000000102	"PV-006968481584	1	26.42130000000102"
PV-006968493471	29.729700000000207	"PV-006968493471	1	29.729700000000207"
PV-006968906747	29.215699999990683	"PV-006968906747	1	29.215699999990683"
PV-006969285340	28.773400000003356	"PV-006969285340	1	28.773400000003356"
PV-006969681739	31.034200000002425	"PV-006969681739	1	31.034200000002425"
PV-006969772776	31.667900000002984	"PV-006969772776	1	31.667900000002984"
PV-006970021513	26.992999999997384	"PV-006970021513	1	26.992999999997384"
PV-006970096815	28.95419999998863	"PV-006970096815	1	28.95419999998863"
PV-006970114902	30.05669999999851	"PV-006970114902	1	30.05669999999851"
PV-006970240487	29.38459999999012	"PV-006970240487	1	29.38459999999012"
PV-006971139707	29.41199999999888	"PV-006971139707	1	29.41199999999888"
PV-006971139708	29.168600000013775	"PV-006971139708	1	29.168600000013775"
PV-006971390256	29.009700000002034	"PV-006971390256	1	29.009700000002034"
PV-006971830494	32.00740000000299	"PV-006971830494	1	32.00740000000299"
PV-006971830495	30.888299999999994	"PV-006971830495	1	30.888299999999994"
PV-006971830496	25.98500000000836	"PV-006971830496	1	25.98500000000836"
PV-006971860343	31.119600000000382	"PV-006971860343	1	31.119600000000382"
PV-006971978453	30.428500000001318	"PV-006971978453	1	30.428500000001318"
PV-006972105916	29.6945000000041	"PV-006972105916	1	29.6945000000041"
PV-006972119918	27.531600000006037	"PV-006972119918	1	27.531600000006037"
PV-006972312647	29.939999999985112	"PV-006972312647	1	29.939999999985112"
PV-006972590545	28.350900000004476	"PV-006972590545	1	28.350900000004476"
PV-006972590546	26.94730000000613	"PV-006972590546	1	26.94730000000613"
PV-006972761152	29.25159999999628	"PV-006972761152	1	29.25159999999628"
PV-006972805093	25.306200000005383	"PV-006972805093	1	25.306200000005383"
PV-006972942166	30.77909999999776	"PV-006972942166	1	30.77909999999776"
