feature_set	n_features_total	n_features_used	model	n_samples	n_low	n_high	accuracy_mean	accuracy_std	balanced_accuracy_mean	balanced_accuracy_std	f1_mean	f1_std	roc_auc_mean	roc_auc_std	mean_predicted_low	mean_predicted_high	mean_tn	mean_fp	mean_fn	mean_tp
majority_baseline	0	0	always_predict_majority	866	285	581	0.6709006928406467	0.0	0.5	0.0	0.8030407740152039	0.0	0.5	0.0	0.0	866.0	0.0	285.0	0.0	581.0
PRO-LIG_all	21	21	logistic_regression_balanced	866	285	581	0.5415719885721878	0.01338681069502164	0.5367645462019328	0.024290417690411025	0.6159558143381674	0.02556133773877541	0.5464733894860936	0.039280062098289756	82.0	91.2	29.8	27.2	52.2	64.0
PRO-LIG_all	21	21	random_forest_balanced	866	285	581	0.6362633712045711	0.0350054862463967	0.49921859245815686	0.031098638649253024	0.7681282605686581	0.026107746503695625	0.5213915646765013	0.061131057636510354	17.2	156.0	5.6	51.4	11.6	104.6
PRO-GTP_all	83	83	logistic_regression_balanced	866	285	581	0.595820875689323	0.025384735154422057	0.5781077915832907	0.029497153403404988	0.6764003730977084	0.021351895467741668	0.5987339775906019	0.03359663397572329	73.0	100.2	30.0	27.0	43.0	73.2
PRO-GTP_all	83	83	random_forest_balanced	866	285	581	0.6581755365092021	0.021464107363403023	0.5048237858128964	0.01884251730390519	0.7890099724535882	0.015347598359377521	0.6356701878480463	0.048922130031742866	8.6	164.6	3.2	53.8	5.4	110.8
PRO-PRO_select20	3982	20	logistic_regression_balanced	866	285	581	0.7851770646468673	0.022091906062958994	0.7836086680006824	0.027363128892728086	0.8309854894839749	0.019037152876092842	0.8638331756299088	0.013356720271626082	69.0	104.2	44.4	12.6	24.6	91.6
PRO-PRO_select20	3982	20	random_forest_balanced	866	285	581	0.935366420835825	0.01591937440439417	0.9384204321590891	0.018893009679863224	0.950742316853092	0.01208643675008628	0.9660141364315592	0.006609751615256998	62.2	111.0	54.0	3.0	8.2	108.0
PRO-PRO_select50	3982	50	logistic_regression_balanced	866	285	581	0.7932761942728057	0.02039156255288185	0.7896431507593032	0.03238822341391783	0.8387869286816437	0.013224217116696156	0.8693631366952601	0.018550534861618874	67.6	105.6	44.4	12.6	23.2	93.0
PRO-PRO_select50	3982	50	random_forest_balanced	866	285	581	0.9203242309481098	0.007656721283433655	0.9057758232894348	0.014666238339390054	0.9411226371559074	0.0050924046759161555	0.9715404780740533	0.004976576664903071	55.2	118.0	49.2	7.8	6.0	110.2
PRO-PRO_select100	3982	100	logistic_regression_balanced	866	285	581	0.7551857019467146	0.020664911780006547	0.7451700094622054	0.01959211238656205	0.8091272539380118	0.0180841391192633	0.8405419310138005	0.01661677208698499	67.0	106.2	40.8	16.2	26.2	90.0
PRO-PRO_select100	3982	100	random_forest_balanced	866	285	581	0.9215068766194937	0.026652127576747935	0.8986070392603966	0.029709522004854532	0.9428550064093434	0.019461370351686377	0.9772563223561408	0.014394663220119428	51.4	121.8	47.4	9.6	4.0	112.2
PRO-PRO_select200	3982	200	logistic_regression_balanced	866	285	581	0.7447810776692578	0.020737265350044984	0.7231122124497805	0.024732974043234806	0.8052105198258749	0.01620832959109049	0.8048906158706522	0.017946601798229003	62.4	110.8	37.6	19.4	24.8	91.4
PRO-PRO_select200	3982	200	random_forest_balanced	866	285	581	0.9203175868713043	0.008543972778254067	0.8798396854204477	0.012272093693389339	0.9438772499731615	0.0057660211470270594	0.9815163830590329	0.00627340936019552	43.6	129.6	43.4	13.6	0.2	116.0
ALL_select50	4086	50	logistic_regression_balanced	866	285	581	0.7932496179655837	0.027519679508334186	0.7905059953154326	0.03611509186440639	0.8383578273530272	0.02038380285875202	0.8710469439144577	0.019116190547690166	68.0	105.2	44.6	12.4	23.4	92.8
ALL_select50	4086	50	random_forest_balanced	866	285	581	0.9203508072553319	0.015497280308019048	0.9075751935098577	0.01723435479822451	0.9408705415940257	0.011640775303118094	0.9710014425985388	0.0070860444833789555	56.0	117.2	49.6	7.4	6.4	109.8
ALL_select100	4086	100	logistic_regression_balanced	866	285	581	0.7667131752043053	0.024119349545493066	0.7582449160035367	0.028887128550074782	0.8182041590135629	0.01966264718986219	0.8421680859974872	0.01825230765289703	67.0	106.2	41.8	15.2	25.2	91.0
ALL_select100	4086	100	random_forest_balanced	866	285	581	0.9203441631785264	0.016789365174281527	0.8905916980780864	0.018042092719316265	0.9427225288481026	0.012196236984481894	0.977111803972058	0.014278690123361875	48.4	124.8	45.8	11.2	2.6	113.6
ALL_select200	4086	200	logistic_regression_balanced	866	285	581	0.7516909175470068	0.03021168900598921	0.7345234771278328	0.03944422728074751	0.8093951472638704	0.021352878790928603	0.8107553735502918	0.026338996957084415	64.0	109.2	39.0	18.0	25.0	91.2
ALL_select200	4086	200	random_forest_balanced	866	285	581	0.9191482293535312	0.013771913176735382	0.8798773015651419	0.02144086018345168	0.942976333249349	0.009121782961499165	0.9805176808806573	0.004932798880758724	44.2	129.0	43.6	13.4	0.6	115.6
