ligand_id,computed_barrier_kcal_per_mol,new_label,y
PV-000242866385,21.99,low,0
PV-000012301601,23.25,low,0
PV-000240030311,24.0,low,0
PV-000233762202,24.23,low,0
PV-000012029309,24.46,low,0
PV-000234839131,24.73,low,0
PV-000012392282,24.81,low,0
PV-000101463982,25.09,low,0
PV-000012372941,25.21,low,0
PV-000234301520,25.21,low,0
PV-000238539836,25.28,low,0
PV-000234982290,25.44,low,0
PV-000234746429,25.52,low,0
PV-000233762214,25.6,low,0
PV-000240160459,25.66,low,0
PV-000242866336,25.86,low,0
PV-000012147410,25.91,low,0
PV-000015914520,26.12,low,0
PV-000235075125,26.34,low,0
PV-000012437814,26.42,low,0
PV-000012147338,26.45,low,0
PV-000012353304,26.45,low,0
PV-000234626688,26.9,low,0
PV-000012043653,27.01,low,0
PV-000235112478,27.03,low,0
PV-000012337613,27.09,low,0
PV-000012383213,27.21,low,0
PV-000233762503,27.22,low,0
PV-000234275599,27.23,high,1
PV-000012057199,27.37,high,1
PV-000234036482,27.44,high,1
PV-000013925557,27.47,high,1
PV-000012392354,27.53,high,1
PV-000012328757,27.54,high,1
PV-000240088242,27.62,high,1
PV-000234982102,27.76,high,1
PV-000012403122,27.78,high,1
PV-000239697849,27.78,high,1
PV-000235090682,27.96,high,1
PV-000234036735,28.03,high,1
PV-000012384236,28.13,high,1
PV-000239559019,28.17,high,1
PV-000012169641,28.21,high,1
PV-000239559910,28.31,high,1
PV-000240120289,28.43,high,1
PV-000233759505,28.52,high,1
PV-000012231076,28.64,high,1
PV-000239815859,28.81,high,1
PV-000234245338,28.82,high,1
PV-000233762504,28.85,high,1
PV-000013696201,29.06,high,1
PV-000233762591,29.65,high,1
PV-000015960707,29.8,high,1
PV-000012328892,30.17,high,1
PV-000012275602,30.63,high,1
PV-000239908503,32.62,high,1
