ligand_id	barrier_energy	original_line
PV-002311756744	29.426	PV-002311756744 29.426
PV-002313328312	31.297	PV-002313328312 31.297
PV-002313420790	26.034	PV-002313420790 26.034
PV-002313505266	29.842	PV-002313505266 29.842
PV-002313752511	26.319	PV-002313752511 26.319
PV-002313917905	30.534	PV-002313917905 30.534
PV-002315879253	27.296	PV-002315879253 27.296
PV-002316316008	27.584	PV-002316316008 27.584
PV-002316471498	26.794	PV-002316471498 26.794
PV-002317026982	31.26	PV-002317026982 31.260
PV-002317244763	29.387	PV-002317244763 29.387
PV-002317451088	31.163	PV-002317451088 31.163
PV-002317893535	30.639	PV-002317893535 30.639
PV-002318869812	29.898	PV-002318869812 29.898
PV-002319559230	26.677	PV-002319559230 26.677
PV-002319977695	29.626	PV-002319977695 29.626
PV-002320367835	32.029	PV-002320367835 32.029
PV-002320493714	27.121	PV-002320493714 27.121
PV-002320963406	25.164	PV-002320963406 25.164
PV-002321415969	29.107	PV-002321415969 29.107
PV-002321845741	30.099	PV-002321845741 30.099
PV-002322173448	30.326	PV-002322173448 30.326
PV-002322394627	30.382	PV-002322394627 30.382
PV-002322747889	31.923	PV-002322747889 31.923
PV-002323035794	29.104	PV-002323035794 29.104
PV-002323257958	26.258	PV-002323257958 26.258
PV-002323529321	26.279	PV-002323529321 26.279
PV-002323761521	29.137	PV-002323761521 29.137
PV-002323931739	28.788	PV-002323931739 28.788
PV-002323991189	32.174	PV-002323991189 32.174
PV-002323998165	28.961	PV-002323998165 28.961
PV-002324532342	28.957	PV-002324532342 28.957
PV-002324705691	31.045	PV-002324705691 31.045
PV-002325427662	30.165	PV-002325427662 30.165
PV-002325575992	31.454	PV-002325575992 31.454
PV-002326363918	29.622	PV-002326363918 29.622
PV-002326566359	29.804	PV-002326566359 29.804
PV-002326594988	26.958	PV-002326594988 26.958
PV-002327007571	25.758	PV-002327007571 25.758
PV-002327169272	26.937	PV-002327169272 26.937
PV-002328316919	28.044	PV-002328316919 28.044
PV-002330997179	28.219	PV-002330997179 28.219
PV-002331858842	30.47	PV-002331858842 30.470
PV-002331897022	27.205	PV-002331897022 27.205
PV-002332379283	26.478	PV-002332379283 26.478
PV-002332897951	29.069	PV-002332897951 29.069
PV-002333287148	27.671	PV-002333287148 27.671
PV-002334087427	25.518	PV-002334087427 25.518
PV-002334387325	26.273	PV-002334387325 26.273
PV-002334969250	31.698	PV-002334969250 31.698
PV-002335543871	27.334	PV-002335543871 27.334
PV-002335709186	29.726	PV-002335709186 29.726
PV-002335831491	28.533	PV-002335831491 28.533
PV-002335891619	29.818	PV-002335891619 29.818
PV-002335991116	31.516	PV-002335991116 31.516
PV-002337109727	30.917	PV-002337109727 30.917
PV-002337294064	29.577	PV-002337294064 29.577
PV-002337424374	30.497	PV-002337424374 30.497
PV-002338832334	30.306	PV-002338832334 30.306
PV-002338976098	31.111	PV-002338976098 31.111
PV-002339051692	26.035	PV-002339051692 26.035
PV-002339862881	30.823	PV-002339862881 30.823
PV-002340856087	30.468	PV-002340856087 30.468
PV-002340861678	27.903	PV-002340861678 27.903
PV-002340906432	27.253	PV-002340906432 27.253
PV-002341018173	29.925	PV-002341018173 29.925
PV-002341493523	25.982	PV-002341493523 25.982
PV-002343064801	26.182	PV-002343064801 26.182
PV-002343153007	29.098	PV-002343153007 29.098
PV-002343530919	30.281	PV-002343530919 30.281
PV-002343906213	26.765	PV-002343906213 26.765
PV-002344189256	31.352	PV-002344189256 31.352
PV-002344632196	25.633	PV-002344632196 25.633
PV-002344973803	30.002	PV-002344973803 30.002
PV-002346600732	29.195	PV-002346600732 29.195
PV-002346858516	25.269	PV-002346858516 25.269
PV-002348589429	26.03	PV-002348589429 26.030
PV-002349187511	29.679	PV-002349187511 29.679
PV-002350004037	30.022	PV-002350004037 30.022
PV-002350335077	27.647	PV-002350335077 27.647
PV-002351937127	29.46	PV-002351937127 29.460
PV-002351947141	29.393	PV-002351947141 29.393
PV-002352231531	25.914	PV-002352231531 25.914
PV-002352356720	32.022	PV-002352356720 32.022
PV-002353034385	26.546	PV-002353034385 26.546
PV-002353057115	28.608	PV-002353057115 28.608
PV-002353245408	26.973	PV-002353245408 26.973
PV-002353652190	28.949	PV-002353652190 28.949
PV-002354599652	30.105	PV-002354599652 30.105
PV-002354901407	30.324	PV-002354901407 30.324
PV-002355074514	30.681	PV-002355074514 30.681
PV-002356289407	27.097	PV-002356289407 27.097
PV-002356639361	27.122	PV-002356639361 27.122
