ligand_id	barrier_energy	original_line
PV-005895989592	34.063	PV-005895989592 34.063
PV-005494056198	33.927	PV-005494056198 33.927
PV-002823071317	33.398	PV-002823071317 33.398
PV-006208205388	33.282	PV-006208205388 33.282
PV-005337598196	33.152	PV-005337598196 33.152
PV-006223793316	33.05	PV-006223793316 33.050
PV-006532126636	33.009	PV-006532126636 33.009
PV-006036327761	32.993	PV-006036327761 32.993
PV-005688195612	32.969	PV-005688195612 32.969
PV-003960720839	32.953	PV-003960720839 32.953
PV-005467743979	32.951	PV-005467743979 32.951
PV-005347069601	32.927	PV-005347069601 32.927
PV-005345428465	32.918	PV-005345428465 32.918
PV-005410537087	32.887	PV-005410537087 32.887
PV-005355430957	32.873	PV-005355430957 32.873
PV-004017842889	32.719	PV-004017842889 32.719
PV-005704730108	32.696	PV-005704730108 32.696
PV-005796347426	32.679	PV-005796347426 32.679
PV-006471821010	32.647	PV-006471821010 32.647
PV-005844259734	32.647	PV-005844259734 32.647
