ligand_id	barrier_energy	original_line
PV-005870675699	24.697	PV-005870675699 24.697
PV-005392760816	24.771	PV-005392760816 24.771
PV-005338874733	24.932	PV-005338874733 24.932
PV-006416744207	24.976	PV-006416744207 24.976
PV-005427438225	25.015	PV-005427438225 25.015
PV-005327426318	25.021	PV-005327426318 25.021
PV-006333472603	25.024	PV-006333472603 25.024
PV-005338999651	25.036	PV-005338999651 25.036
PV-006228788394	25.058	PV-006228788394 25.058
PV-006652113144	25.076	PV-006652113144 25.076
PV-005841188554	25.089	PV-005841188554 25.089
PV-006353561110	25.091	PV-006353561110 25.091
PV-005330028873	25.095	PV-005330028873 25.095
PV-002773345351	25.101	PV-002773345351 25.101
PV-002823114121	25.101	PV-002823114121 25.101
PV-005358465482	25.111	PV-005358465482 25.111
PV-005337068044	25.126	PV-005337068044 25.126
PV-005331046925	25.13	PV-005331046925 25.130
PV-005336174139	25.132	PV-005336174139 25.132
PV-002419403251	25.135	PV-002419403251 25.135
