ligand_id	barrier_energy	group	original_line
PV-005870675699	24.697	low	PV-005870675699 24.697
PV-005392760816	24.771	low	PV-005392760816 24.771
PV-005338874733	24.932	low	PV-005338874733 24.932
PV-006416744207	24.976	low	PV-006416744207 24.976
PV-005427438225	25.015	low	PV-005427438225 25.015
PV-005327426318	25.021	low	PV-005327426318 25.021
PV-006333472603	25.024	low	PV-006333472603 25.024
PV-005338999651	25.036	low	PV-005338999651 25.036
PV-006228788394	25.058	low	PV-006228788394 25.058
PV-006652113144	25.076	low	PV-006652113144 25.076
PV-005841188554	25.089	low	PV-005841188554 25.089
PV-006353561110	25.091	low	PV-006353561110 25.091
PV-005330028873	25.095	low	PV-005330028873 25.095
PV-002773345351	25.101	low	PV-002773345351 25.101
PV-002823114121	25.101	low	PV-002823114121 25.101
PV-005358465482	25.111	low	PV-005358465482 25.111
PV-005337068044	25.126	low	PV-005337068044 25.126
PV-005331046925	25.13	low	PV-005331046925 25.130
PV-005336174139	25.132	low	PV-005336174139 25.132
PV-002419403251	25.135	low	PV-002419403251 25.135
PV-005895989592	34.063	high	PV-005895989592 34.063
PV-005494056198	33.927	high	PV-005494056198 33.927
PV-002823071317	33.398	high	PV-002823071317 33.398
PV-006208205388	33.282	high	PV-006208205388 33.282
PV-005337598196	33.152	high	PV-005337598196 33.152
PV-006223793316	33.05	high	PV-006223793316 33.050
PV-006532126636	33.009	high	PV-006532126636 33.009
PV-006036327761	32.993	high	PV-006036327761 32.993
PV-005688195612	32.969	high	PV-005688195612 32.969
PV-003960720839	32.953	high	PV-003960720839 32.953
PV-005467743979	32.951	high	PV-005467743979 32.951
PV-005347069601	32.927	high	PV-005347069601 32.927
PV-005345428465	32.918	high	PV-005345428465 32.918
PV-005410537087	32.887	high	PV-005410537087 32.887
PV-005355430957	32.873	high	PV-005355430957 32.873
PV-004017842889	32.719	high	PV-004017842889 32.719
PV-005704730108	32.696	high	PV-005704730108 32.696
PV-005796347426	32.679	high	PV-005796347426 32.679
PV-006471821010	32.647	high	PV-006471821010 32.647
PV-005844259734	32.647	high	PV-005844259734 32.647
